code_commune,nom_standard,population,latitude_centre,longitude_centre
77487,Vaux-le-Pénil,11174,48.525,2.697
77489,Vaux-sur-Lunain,234,48.217,2.956
77490,Vendrest,682,49.042,3.108
77492,Verdelot,634,48.878,3.365
77493,Verneuil-l'Étang,3198,48.637,2.832
77494,Vernou-la-Celle-sur-Seine,2606,48.406,2.854
77495,Vert-Saint-Denis,8822,48.571,2.627
77496,Vieux-Champagne,189,48.587,3.138
77498,Vignely,318,48.933,2.816
77500,Villebéon,460,48.205,2.928
77501,Villecerf,722,48.327,2.846
77504,Villemaréchal,1082,48.272,2.868
77505,Villemareuil,387,48.92,2.985
77506,Villemer,778,48.304,2.826
77507,Villenauxe-la-Petite,439,48.4,3.313
77508,Villeneuve-le-Comte,1870,48.812,2.838
77509,Villeneuve-les-Bordes,616,48.495,3.031
77510,Villeneuve-Saint-Denis,1398,48.812,2.793
77511,Villeneuve-sous-Dammartin,628,49.029,2.637
77512,Villeneuve-sur-Bellot,1136,48.873,3.333
77513,Villenoy,5019,48.941,2.852
77514,Villeparisis,26822,48.942,2.617
77515,Villeroy,699,48.982,2.783
77516,Ville-Saint-Jacques,828,48.344,2.898
77517,Villevaudé,2132,48.912,2.662
77518,Villiers-en-Bière,238,48.495,2.6
77519,Villiers-Saint-Georges,1165,48.652,3.408
77520,Villiers-sous-Grez,661,48.314,2.639
77521,Villiers-sur-Morin,2048,48.849,2.869
77522,Villiers-sur-Seine,291,48.456,3.383
77523,Villuis,255,48.405,3.359
77524,Vimpelles,515,48.443,3.166
77525,Vinantes,381,49.003,2.74
77526,Vincy-Manœuvre,275,49.076,2.958
77527,Voinsles,577,48.681,3.017
77528,Voisenon,1167,48.57,2.664
77529,Voulangis,1499,48.84,2.89
77530,Voulton,304,48.612,3.34
77531,Voulx,1632,48.285,2.97
77532,Vulaines-lès-Provins,70,48.564,3.22
77533,Vulaines-sur-Seine,2731,48.432,2.769
77534,Yèbles,958,48.638,2.769
78003,Ablis,3715,48.528,1.851
78005,Achères,21368,48.972,2.09
78006,Adainville,646,48.72,1.662
78007,Aigremont,1083,48.901,2.015
78009,Allainville,282,48.468,1.902
78010,Les Alluets-le-Roi,1273,48.914,1.915
78013,Andelu,504,48.888,1.811
78015,Andrésy,13230,48.982,2.05
78020,Arnouville-lès-Mantes,940,48.911,1.72
78029,Aubergenville,12317,48.963,1.849
78030,Auffargis,1974,48.684,1.902
78031,Auffreville-Brasseuil,655,48.954,1.705
78033,Aulnay-sur-Mauldre,1137,48.929,1.841
78034,Auteuil,991,48.84,1.819
78036,Autouillet,636,48.844,1.797
78043,Bailly,3650,48.837,2.081
78048,Bazainville,1456,48.807,1.668
78049,Bazemont,1695,48.932,1.874
78050,Bazoches-sur-Guyonne,674,48.774,1.852
78053,Béhoust,498,48.832,1.724
78057,Bennecourt,1837,49.048,1.572
78062,Beynes,7617,48.854,1.87
78068,Blaru,889,49.041,1.481
78070,Boinville-en-Mantois,287,48.928,1.749
78071,Boinville-le-Gaillard,604,48.496,1.871
78072,Boinvilliers,245,48.92,1.663
78073,Bois-d'Arcy,15435,48.804,2.019
78076,Boissets,282,48.859,1.588
78077,La Boissière-École,754,48.69,1.668
78082,Boissy-Mauvoisin,632,48.966,1.582
78084,Boissy-sans-Avoir,627,48.821,1.798
78087,Bonnelles,2123,48.618,2.03
78089,Bonnières-sur-Seine,5038,49.02,1.571
78090,Bouafle,2213,48.961,1.897
78092,Bougival,9031,48.864,2.138
78096,Bourdonné,504,48.754,1.654
78104,Breuil-Bois-Robert,763,48.944,1.715
78107,Bréval,1908,48.955,1.542
78108,Les Bréviaires,1311,48.721,1.816
